gauge,start_index,end_index,length
401210,1,63,63
401212,1,61,61
401215,1,58,58
401216,1,48,48
401216,50,61,12
401217,14,61,48
401220,20,57,38
401220,60,61,2
402204,10,51,42
402204,53,63,11
402206,18,52,35
402206,54,55,2
402206,57,63,7
402213,13,39,27
402213,41,51,11
402213,54,58,5
402213,60,63,4
402217,13,51,39
403200,1,14,14
403200,16,27,12
403200,29,61,33
403205,1,4,4
403205,7,51,45
403205,53,60,8
403209A,8,13,6
403209A,16,56,41
403213,1,2,2
403213,4,6,3
403213,8,16,9
403213,18,52,35
403213,54,63,10
403214,4,5,2
403214,7,63,57
403217,11,51,41
403217,57,63,7
403221,7,52,46
403221,54,63,10
403222,8,51,44
403222,54,63,10
403223,11,61,51
403224,18,63,46
403226,10,34,25
403226,37,49,13
403226,51,58,8
403226,60,63,4
403230,8,52,45
403230,54,61,8
403232,15,34,20
403232,37,63,27
403233,15,51,37
403233,54,57,4
403233,59,61,3
404204,9,61,53
404207,3,63,61
405205,18,58,41
405205,60,63,4
405209,16,63,48
405212,4,15,12
405212,18,56,39
405212,58,62,5
405214,1,7,7
405214,10,63,54
405215,17,51,35
405215,53,58,6
405215,60,63,4
405217,18,55,38
405217,57,58,2
405217,60,63,4
405218,2,63,62
405219,10,49,40
405219,55,63,9
405226,17,60,44
405227,13,61,49
405228,18,63,46
405229,12,63,52
405230,16,55,40
405230,57,63,7
405231,17,37,21
405231,39,63,25
405234,8,13,6
405234,16,63,48
405237,6,47,42
405237,49,56,8
405237,60,61,2
405238,15,16,2
405238,18,57,40
405238,60,63,4
405240,18,34,17
405240,36,63,28
405241,16,63,48
405245,13,33,21
405245,35,63,29
405246,13,29,17
405246,33,51,19
405246,53,61,9
405248,14,63,50
405251,16,58,43
405251,60,63,4
405263,18,52,35
405264,18,63,46
405274,20,63,44
406208,1,63,63
406213,18,57,40
406213,60,63,4
406214,15,63,49
406224,18,53,36
406224,60,63,4
406226,21,40,20
406226,42,58,17
406226,60,63,4
406235,23,45,23
406235,47,49,3
406235,51,53,3
406235,56,57,2
406235,59,63,5
406250,26,49,24
406250,52,61,10
407213,15,35,21
407213,38,50,13
407213,54,63,10
407214,1,63,63
407215,18,36,19
407215,38,49,12
407215,51,56,6
407217,1,49,49
407217,51,52,2
407217,55,61,7
407220,16,52,37
407221,1,56,56
407221,59,61,3
407230,16,63,48
407246,16,57,42
407246,59,61,3
407253,16,42,27
407253,46,53,8
407253,55,63,9
408200,7,8,2
408200,13,63,51
408202,9,52,44
408202,54,56,3
408202,60,63,4
408206,30,63,34
410024,1,63,63
410026,11,14,4
410026,16,63,48
410033,7,63,57
410038,11,17,7
410038,20,63,44
410044,1,2,2
410044,4,10,7
410044,23,44,22
410044,53,54,2
410044,58,63,6
410047,6,9,4
410047,13,14,2
410047,22,63,42
410057,1,63,63
410061,1,63,63
410062,7,41,35
410062,43,63,21
410088,2,5,4
410088,10,63,54
410091,24,38,15
410091,40,50,11
410091,52,63,12
410141,25,54,30
410141,56,63,8
410156,28,63,36
410705,1,5,5
410705,7,61,55
410713,1,25,25
410713,27,29,3
410713,32,33,2
410713,35,61,27
410730,6,31,26
410730,33,63,31
410731,8,31,24
410731,36,48,13
410731,50,63,14
410734,9,36,28
410734,38,50,13
410734,52,63,12
410761,17,22,6
410761,24,42,19
410761,44,57,14
410761,59,63,5
411003,21,38,18
411003,40,43,4
411003,48,50,3
411003,52,55,4
411003,59,63,5
412028,3,40,38
412028,42,44,3
412028,46,55,10
412029,1,20,20
412029,24,41,18
412029,47,49,3
412029,51,56,6
412029,58,60,3
412029,62,63,2
412050,12,24,13
412050,26,45,20
412050,54,56,3
412050,58,63,6
412066,3,7,5
412066,9,10,2
412066,13,40,28
412066,43,46,4
412066,48,63,16
415201,7,9,3
415201,11,63,53
415206,1,49,49
415206,52,61,10
415207,6,62,57
415220,17,30,14
415220,32,36,5
415220,38,56,19
415220,59,63,5
415223,8,48,41
415223,50,54,5
415223,56,59,4
415226,14,51,38
415226,54,57,4
415226,59,63,5
415237,19,54,36
415237,56,63,8
415238,19,38,20
415238,40,50,11
415238,54,63,10
415245,28,61,34
416003,21,63,43
416008,21,25,5
416008,27,28,2
