gauge,drought,record_length,station_name,state,lat,lon,catchment_area_sq_km,prop_forested,climate_type,major_climate_type
207013,FALSE,43,Ellenborough River at D/S Bunnoo R Junction (207013),NSW,-31.481,152.4478,497.6,0.94135,Cfb,Temperate (C)
207014,FALSE,34,Wilson River at Avenel (207014),NSW,-31.3326,152.7404,508.8,0.89751,Cfa,Temperate (C)
207015,FALSE,37,Hastings River at Mount Seaview (207015),NSW,-31.3714,152.2442,349.1,0.98901,Cfb,Temperate (C)
208003,FALSE,55,Gloucester River at Doon Ayre (208003),NSW,-31.8981,152.0956,1629.7,0.67643,Cfb,Temperate (C)
208004,TRUE,51,Manning River at Killawarra (208004),NSW,-31.92,152.31,6631.4,0.84177,Cfb,Temperate (C)
208005,TRUE,53,Nowendoc River at Rocks Crossing (208005),NSW,-31.779,152.0746,1894,0.92406,Cfb,Temperate (C)
208007,TRUE,53,Nowendoc River at Nowendoc (208007),NSW,-31.516389,151.716389,222.2,0.68916,Cfb,Temperate (C)
208009,FALSE,51,Barnard River at Barry (208009),NSW,-31.579167,151.315278,151.5,0.99848,Cfb,Temperate (C)
208011,TRUE,48,Barnard River at Mackay (208011),NSW,-31.77,151.9,1813.5,0.92433,Cfb,Temperate (C)
208015,FALSE,47,Landsdowne River at Landsdowne (208015),NSW,-31.7889,152.5128,95.4,0.7488,Cfa,Temperate (C)
208024,FALSE,34,Barnard River at D/S Back R Jctn (208024),NSW,-31.56,151.34,281.1,0.99639,Cfb,Temperate (C)
208026,TRUE,35,Myall River at Jacky Barkers (208026),NSW,-31.6417,151.7342,546.8,0.90016,Cfb,Temperate (C)
209002,TRUE,49,Mammy Johnsons River at Crossing (209002),NSW,-32.2453,151.9778,157.5,0.99413,Cfb,Temperate (C)
209003,FALSE,45,Karuah River at Booral (209003),NSW,-32.48,151.96,982.1,0.8296,Cfb,Temperate (C)
210006,FALSE,48,Goulburn River at Coggan (210006),NSW,-32.342778,150.101389,3390.6,0.70011,Cfa,Temperate (C)
210011,FALSE,53,William River at Tillegra (210011),NSW,-32.318889,151.688056,195.9,0.59343,Cfb,Temperate (C)
210014,FALSE,52,Rouchel Brook River at Rouchel Brook (The Vale) (210014),NSW,-32.1531,151.0474,401.3,0.77598,Cfb,Temperate (C)
210016,FALSE,43,Goulburn River at Kerrabee (210016),NSW,-32.42,150.32,4973.6,0.66186,Cfa,Temperate (C)
210017,FALSE,44,Moonan Brook River at Moonan Brook (210017),NSW,-31.9437,151.2797,102.4,0.99313,Cfb,Temperate (C)
210022,TRUE,56,Allyn River at Halton (210022),NSW,-32.3078,151.5117,188.7,0.83413,Cfb,Temperate (C)
210031,FALSE,58,Goulburn River at Sandy Hollow (210031),NSW,-32.35,150.57,6815.3,0.71193,Cfa,Temperate (C)
210040,FALSE,55,Wybong Creek at Wybong (210040),NSW,-32.2708,150.6349,670.9,0.54677,Cfa,Temperate (C)
