gauge,CO2_model,non_CO2_model,evidence_ratio,lat,lon,state,status,parent_catchment,river_di,binned_evidence_ratio,impact_of_CO2_term
209003,563.1976546819399,559.4165569283882,-6.623002896059592,-32.48,151.96,NSW,main_catchment,209003,0.095707,Weak,No CO2 Term
203005,574.8087647025849,571.0308166952445,-6.6125807158796706,-28.5065,152.9658,NSW,no_nested,NA,0.081592,Weak,No CO2 Term
402206,483.418561009117,479.645652888908,-6.59593836335361,-36.54,147.044444,VIC,no_nested,NA,0.06241,Weak,No CO2 Term
112101B,658.9508796195616,655.1807959566352,-6.586629964621516,-17.6089,145.9791,QLD,no_nested,NA,0.056195,Weak,No CO2 Term
424002,331.25973032483336,327.499735485849,-6.553487950842452,-29.2387,144.4553,NSW,main_catchment,424002,0.355058,Weak,No CO2 Term
404204,481.57673856550974,477.82112839452213,-6.53913625400455,-36.12376902,145.8319105,VIC,no_nested,NA,0.510794,Weak,No CO2 Term
145102B,681.7872425823,678.0328478860672,-6.535163383840157,-27.91,153.11,QLD,main_catchment,145102B,0.173326,Weak,No CO2 Term
424201A,431.4704756458246,427.7187338357112,-6.5265006083350485,-28.6891,144.7859,QLD,sub_catchment,424002,0.339726,Weak,No CO2 Term
410088,666.2132348521193,662.46300740216,-6.521560742521595,-35.42,148.73,NSW,sub_catchment,410024,0.008351,Weak,No CO2 Term
108002A,662.4024783678668,658.6624696703402,-6.48832461541334,-16.179444,145.281944,QLD,no_nested,NA,0.045517,Weak,No CO2 Term
410026,513.8195016176545,510.0861251830331,-6.46684411384947,-34.8367,148.9103,NSW,no_nested,NA,0.69625,Weak,No CO2 Term
707002,459.51175049214214,455.7832843974896,-6.450986386960472,-21.6162,115.9225,WA,no_nested,NA,0.042532,Weak,No CO2 Term
304499,638.6293459566598,634.900912516373,-6.4508810613859255,-42.706389,146.711111,TAS,no_nested,NA,0.08807,Weak,No CO2 Term
412029,526.8470584457241,523.1235334909144,-6.435068445319769,-34.1441,148.8101,NSW,no_nested,NA,0.1934,Weak,No CO2 Term
416020,388.1261792780783,384.4071283014332,-6.420689356392486,-29.234,150.7581,NSW,no_nested,NA,0.165128,Weak,No CO2 Term
237207,435.391033507871,431.6741557710415,-6.413716296734715,-38.243,141.66,VIC,no_nested,NA,0.124646,Weak,No CO2 Term
422306A,765.1391169903643,761.4272605715782,-6.397633839282938,-28.164444,152.283333,QLD,no_nested,NA,0.06651,Weak,No CO2 Term
418015,514.9552041341731,511.2444949430642,-6.393965120293125,-29.83,150.35,NSW,main_catchment,418015,0.129798,Weak,No CO2 Term
238231,423.64532859169105,419.93482134027704,-6.39331955520226,-37.312,142.37,VIC,no_nested,NA,0.020584,Weak,No CO2 Term
138110A,775.1587714798881,771.4513166614751,-6.383569407714692,-26.63,152.7,QLD,no_nested,NA,0.257367,Weak,No CO2 Term
602004,315.91394668013436,312.218898112575,-6.344093888387341,-34.8861,118,WA,no_nested,NA,0.232153,Weak,No CO2 Term
221210,556.2293852273739,552.538367502392,-6.331320742465615,-37.416389,149.518611,VIC,no_nested,NA,0.060192,Weak,No CO2 Term
709010,362.82686355920765,359.1402650435124,-6.31734647124775,-21.2305,118.8338,WA,no_nested,NA,0.08288,Weak,No CO2 Term
221201,731.2646629863427,727.5869367881487,-6.289383788725625,-37.373,149.2,VIC,no_nested,NA,0.125127,Weak,No CO2 Term
208007,641.7890872879339,638.1429443203191,-6.190844355698862,-31.516389,151.716389,NSW,sub_catchment,208004,0.147635,Weak,No CO2 Term
410734,605.3139320546894,601.6738094446365,-6.172236827427213,-35.613889,149.348889,NSW,no_nested,NA,0.076393,Weak,No CO2 Term
A0030501,355.427720851909,351.79972330964364,-6.134930631761893,-27.7013,140.8433,SA,main_catchment,A0030501,0.479383,Weak,No CO2 Term
415207,527.5524570236279,523.9305044320078,-6.116415949501442,-37.185278,143.184722,VIC,sub_catchment,415201,0.144031,Weak,No CO2 Term
809315,516.0671748627822,512.4529621776428,-6.0927914481204075,-17.1775,129.0925,NT,no_nested,NA,0.026634,Weak,No CO2 Term
410091,351.269418973123,347.65879957153066,-6.081854712127631,-35.69,146.72,NSW,no_nested,NA,0.17223,Weak,No CO2 Term
405205,535.326367707736,531.7161257064889,-6.080707173367508,-37.413889,145.564167,VIC,no_nested,NA,0.132,Weak,No CO2 Term
403217,549.4161505749239,545.8092306297622,-6.0706153319692335,-36.824722,146.583611,VIC,sub_catchment,403209A,0.031016,Weak,No CO2 Term
608002,457.2566197029786,453.6515179288304,-6.065099131282671,-34.392778,115.842222,WA,no_nested,NA,0.050723,Weak,No CO2 Term
129001A,803.7201036057519,800.1159779561584,-6.062139707438586,-22.835,150.6653,QLD,no_nested,NA,0.068135,Weak,No CO2 Term
405217,481.6844881585969,478.0808555258125,-6.060645523223147,-37.383056,145.473333,VIC,no_nested,NA,0.16527,Weak,No CO2 Term
421042,372.4949146693776,368.891895604395,-6.058786499921373,-32.0939,149.0598,NSW,no_nested,NA,0.160233,Weak,No CO2 Term
308799,545.0816158920546,541.4827345874372,-6.04626455427026,-42.164167,145.928056,TAS,sub_catchment,308145,0.004677,Weak,No CO2 Term
105101A,685.3779570938831,681.7802247598594,-6.042792061726413,-15.281389,144.838611,QLD,main_catchment,105101A,0.06953,Weak,No CO2 Term
130413A,625.6447513495493,622.0515181980436,-6.02921352832586,-21.7696,148.7869,QLD,no_nested,NA,0.105336,Weak,No CO2 Term
201001,718.2032443021592,714.6354095494025,-5.953131456830131,-28.3553,153.292,NSW,no_nested,NA,0.128224,Weak,No CO2 Term
208026,419.5222361471134,415.9722196117451,-5.900329918181463,-31.6417,151.7342,NSW,sub_catchment,208004,0.119124,Weak,No CO2 Term
145011A,682.3628705904565,678.8180949492779,-5.884888656129831,-28.147778,152.570833,QLD,no_nested,NA,0.094864,Weak,No CO2 Term
G8110004,404.7624581587066,401.2314212639129,-5.844601691275532,-15.766944,130.033611,NT,no_nested,NA,0.010827,Weak,No CO2 Term
919201A,622.3087415034178,618.7953253176255,-5.793334849605267,-16.108056,144.778611,QLD,no_nested,NA,0.016392,Weak,No CO2 Term
701007,311.3008250551828,307.78974914647137,-5.786559809860893,-28.7629,114.6688,WA,no_nested,NA,0.29871,Weak,No CO2 Term
238223,446.8939667594986,443.38408266455934,-5.783112586237499,-37.496,141.43,VIC,no_nested,NA,0.192394,Weak,No CO2 Term
405218,729.9899146998408,726.4809443044638,-5.7804711759280245,-37.291667,146.1875,VIC,no_nested,NA,0.598175,Weak,No CO2 Term
401203,628.0064314155499,624.4974675166313,-5.780452399663059,-36.948056,147.606944,VIC,main_catchment,401203,0.211253,Weak,No CO2 Term
912101A,439.07302525738874,435.5652453119419,-5.777031518960579,-18.643611,139.253056,QLD,main_catchment,912101A,0.099146,Weak,No CO2 Term
225221,425.9837461279088,422.47603339232455,-5.776837385475186,-37.76935073,146.6677493,VIC,main_catchment,225221,0.053659,Weak,No CO2 Term
227219,553.6333685935967,550.1538878786668,-5.695864342007374,-38.358,145.72,VIC,sub_catchment,227231,0.203736,Weak,No CO2 Term
135002A,658.7755319836715,655.3130422438348,-5.647680161276644,-24.7533,151.5872,QLD,no_nested,NA,0.085686,Weak,No CO2 Term
405241,594.7003091137855,591.2769848062776,-5.5381591035160325,-37.291,145.83,VIC,no_nested,NA,0.61207,Weak,No CO2 Term
405209,567.6982133724808,564.2911462841427,-5.49332404057613,-37.317778,145.713889,VIC,no_nested,NA,0.146156,Weak,No CO2 Term
221002,559.2438946313615,555.8396208649426,-5.485657084665297,-37.3719,149.7125,NSW,no_nested,NA,0.117783,Weak,No CO2 Term
405227,540.5834220182118,537.1794537033479,-5.484819347395471,-37.3675,146.056944,VIC,main_catchment,405227,0.125635,Weak,No CO2 Term
235227,448.62430786942,445.22040515136194,-5.484639457030842,-38.5241,143.4829,VIC,sub_catchment,235224,0.168899,Weak,No CO2 Term
210006,402.2820914457411,398.8784658388434,-5.48387958227246,-32.342778,150.101389,NSW,sub_catchment,210031,0.176925,Weak,No CO2 Term
402217,400.4458202309551,397.0481714172429,-5.467516037772014,-36.385833,146.876389,VIC,sub_catchment,402204,0.103361,Weak,No CO2 Term
G8150010,550.9997942327645,547.6079778606743,-5.451594779953266,-13.025,130.9512,NT,sub_catchment,G8150180,0.057251,Weak,No CO2 Term
206018,594.4982740566277,591.1114827786705,-5.437914584744876,-31.049722,151.766111,NSW,no_nested,NA,0.28981,Weak,No CO2 Term
616001,410.9716514661697,407.59231325182657,-5.417687734488975,-31.7337,116.1164,WA,no_nested,NA,0.168492,Weak,No CO2 Term
226402,631.2189766525995,627.8421805711622,-5.4108058679386835,-38.176,146.21,VIC,main_catchment,226402,0.695874,Weak,No CO2 Term
915206A,529.6077602782275,526.2335862060947,-5.403716924107738,-20.2013,140.2233,QLD,no_nested,NA,0.059603,Weak,No CO2 Term
A0020101,376.9360126755944,373.5680431015056,-5.386979224244877,-25.9088,139.3667,QLD,no_nested,NA,0.136643,Weak,No CO2 Term
136208A,565.759345430198,562.3957817760709,-5.375124986596008,-25.902778,151.844167,QLD,no_nested,NA,0.192682,Weak,No CO2 Term
219017,644.7083125889604,641.3463297971979,-5.3708779988948185,-36.6,149.8094,NSW,no_nested,NA,0.082195,Weak,No CO2 Term
403233,509.83947339445245,506.47819056704714,-5.368998616206074,-36.72149292,146.8820491,VIC,sub_catchment,403209A,0.024844,Weak,No CO2 Term
912105A,364.36526457357,361.01034804335467,-5.351935467480967,-18.970833,138.803333,QLD,sub_catchment,912101A,0.107161,Weak,No CO2 Term
405219,551.61170048169,548.2573344229174,-5.350462626360364,-37.3325,146.130278,VIC,main_catchment,405219,0.627162,Weak,No CO2 Term
116010A,802.8547478966987,799.5101969977256,-5.32426912943123,-18.204444,145.537778,QLD,sub_catchment,116006B,0.059981,Weak,No CO2 Term
401220,401.3402143477253,398.0035939005847,-5.303199001011158,-36.213,147.34,VIC,no_nested,NA,0.079653,Weak,No CO2 Term
221211,541.9160349038909,538.5870040025374,-5.283112700771111,-37.44,148.98,VIC,sub_catchment,221212,0.120868,Weak,No CO2 Term
221212,507.2695086790011,503.96363475058865,-5.222295019632043,-37.606,148.9,VIC,main_catchment,221212,0.104237,Weak,No CO2 Term
604053,531.5882967531828,528.284264775157,-5.217487629550121,-34.889167,117.087222,WA,main_catchment,604053,0.054168,Weak,No CO2 Term
114001A,727.4093011626687,724.1152412196951,-5.191537891471351,-18.1069,145.8054,QLD,no_nested,NA,0.025184,Weak,No CO2 Term
238219,444.36368983936967,441.07404191096134,-5.180097944017718,-37.70876208,141.8325532,VIC,no_nested,NA,0.565782,Weak,No CO2 Term
612034,575.7119900714381,572.4275870178739,-5.166531257987066,-33.387,116.1634,WA,no_nested,NA,0.407001,Weak,No CO2 Term
225219,572.6804538125318,569.4011295750134,-5.153427971396861,-37.516111,146.566111,VIC,sub_catchment,225221,0.021747,Weak,No CO2 Term
212040,381.4646385787499,378.1861243414777,-5.1513412550228015,-34.6089,149.5431,NSW,no_nested,NA,0.186956,Weak,No CO2 Term
206025,476.0029655315471,472.7306384039658,-5.1354299223023006,-30.681,151.7133,NSW,no_nested,NA,0.342858,Weak,No CO2 Term
203010,630.3700333836135,627.0980139565454,-5.134639895865618,-28.7381,153.163,NSW,no_nested,NA,0.20715,Weak,No CO2 Term
701009,227.60288565715211,224.3513895607096,-5.082219360743054,-29.238,115.0351,WA,no_nested,NA,0.234399,Weak,No CO2 Term
708011,340.81069546191344,337.5610303498385,-5.077568757762126,-23.4014,119.7943,WA,no_nested,NA,0.047927,Weak,No CO2 Term
227211,685.4093817718435,682.1635814217257,-5.067766434439248,-38.64,146.37,VIC,no_nested,NA,0.143744,Weak,No CO2 Term
307473,613.5424557394352,610.3112500594953,-5.0309198490648175,-43.1412,145.95,TAS,no_nested,NA,5e-6,Weak,No CO2 Term
111005A,724.2313896979099,721.0204562413514,-4.980183452847393,-17.1832,145.7248,QLD,sub_catchment,111007A,0.031076,Weak,No CO2 Term
403200,576.8400624433477,573.6308847160988,-4.975813444238711,-36.35066081,146.3209358,VIC,sub_catchment,403209A,0.33915,Weak,No CO2 Term
137101A,570.1769454284585,566.9680832302212,-4.975028499409357,-25.086667,152.240833,QLD,no_nested,NA,0.618001,Weak,No CO2 Term
220003,669.1016039264143,665.9145054646917,-4.92118438829247,-36.9414,149.8194,NSW,no_nested,NA,0.097411,Weak,No CO2 Term
126003A,600.2468639256823,597.0652283661306,-4.907760755198038,-21.915556,149.398611,QLD,no_nested,NA,0.163813,Weak,No CO2 Term
224214,455.9848643563332,452.8165218696182,-4.875249308549628,-37.494444,147.393333,VIC,sub_catchment,224203,0.122853,Weak,No CO2 Term
130403A,727.9565550160091,724.8048846057552,-4.834777963630364,-22.0383,149.1286,QLD,no_nested,NA,0.104747,Weak,No CO2 Term
403223,561.7520397206868,558.616144639576,-4.796792860588513,-36.5163133,146.3894165,VIC,sub_catchment,403209A,0.265919,Weak,No CO2 Term
401013,460.1411266301456,457.0142800444072,-4.775139999974147,-35.8972,147.6917,NSW,no_nested,NA,0.132516,Weak,No CO2 Term
917107A,570.9926113296962,567.8671586093533,-4.771813208181411,-18.133611,144.306667,QLD,no_nested,NA,0.075641,Weak,No CO2 Term
809321,527.928026320109,524.8055246856027,-4.764777385100706,-16.1863,128.3,WA,no_nested,NA,0.016892,Weak,No CO2 Term
208011,529.0338604274855,525.9188776027152,-4.746898286247182,-31.77,151.9,NSW,sub_catchment,208004,0.100977,Weak,No CO2 Term
403209A,510.8771097465293,507.7713092838969,-4.725154370022171,-36.3325,146.344722,VIC,main_catchment,403209A,0.340268,Weak,No CO2 Term
235224,518.0936485644002,515.0500701638969,-4.580413144368002,-38.7,143.25,VIC,main_catchment,235224,0.366771,Weak,No CO2 Term
218008,501.1233471345255,498.10165105420185,-4.530571272039081,-36.13,150,NSW,main_catchment,218008,0.084407,Weak,No CO2 Term
418025,465.8250238262429,462.8440274804832,-4.439306510338785,-29.9361,150.5716,NSW,no_nested,NA,0.165758,Weak,No CO2 Term
A5130501,431.25500583097454,428.2767901605571,-4.433138663951936,-35.955,136.697778,SA,no_nested,NA,0.005389,Weak,No CO2 Term
121003A,460.678975361082,457.7260804936924,-4.37736713839915,-20.15,148.15,QLD,main_catchment,121003A,0.198114,Weak,No CO2 Term
204017,592.4729812906394,589.5252696036537,-4.366037483864951,-30.3073,152.7135,NSW,sub_catchment,204007,0.189639,Weak,No CO2 Term
G8150098,624.39309248098,621.4465146735107,-4.363562905164421,-12.7813,130.9413,NT,no_nested,NA,0.034971,Weak,No CO2 Term
