replicate,gauge,contains_CO2,streamflow_model,parameter,parameter_value,AIC
2411,116012A,TRUE,streamflow_model_slope_shifted_CO2_seasonal_ratio,a1,0.7480677684027954,739.1070375682851
2411,116012A,TRUE,streamflow_model_slope_shifted_CO2_seasonal_ratio,a3_slope,0.2346444875771403,739.1070375682851
2411,116012A,TRUE,streamflow_model_slope_shifted_CO2_seasonal_ratio,a4,1174.1791044314396,739.1070375682851
2411,116012A,TRUE,streamflow_model_slope_shifted_CO2_seasonal_ratio,a5,116.43343244161704,739.1070375682851
2411,116012A,TRUE,streamflow_model_slope_shifted_CO2_seasonal_ratio,b,0.02382256952291146,739.1070375682851
2411,116012A,TRUE,streamflow_model_slope_shifted_CO2_seasonal_ratio,sd,226.2620585297946,739.1070375682851
2728,116014A,FALSE,streamflow_model_precip_seasonal_ratio_auto,a0,-402.68189937229363,765.8177875624189
2728,116014A,FALSE,streamflow_model_precip_seasonal_ratio_auto,a1,0.54707082410079,765.8177875624189
2728,116014A,FALSE,streamflow_model_precip_seasonal_ratio_auto,a2,0.2030722515529546,765.8177875624189
2728,116014A,FALSE,streamflow_model_precip_seasonal_ratio_auto,a4,629.598318081984,765.8177875624189
2728,116014A,FALSE,streamflow_model_precip_seasonal_ratio_auto,b,0.01802447847690416,765.8177875624189
2728,116014A,FALSE,streamflow_model_precip_seasonal_ratio_auto,sd,129.3958569947961,765.8177875624189
2724,116014A,TRUE,streamflow_model_slope_shifted_CO2_seasonal_ratio_auto,a0,-400.9917815077597,769.6377746820912
2724,116014A,TRUE,streamflow_model_slope_shifted_CO2_seasonal_ratio_auto,a1,0.5449052526822243,769.6377746820912
2724,116014A,TRUE,streamflow_model_slope_shifted_CO2_seasonal_ratio_auto,a2,0.20721845361083657,769.6377746820912
2724,116014A,TRUE,streamflow_model_slope_shifted_CO2_seasonal_ratio_auto,a3_slope,0.08068362906378113,769.6377746820912
2724,116014A,TRUE,streamflow_model_slope_shifted_CO2_seasonal_ratio_auto,a4,626.5170217390182,769.6377746820912
2724,116014A,TRUE,streamflow_model_slope_shifted_CO2_seasonal_ratio_auto,a5,135.93243697185918,769.6377746820912
2724,116014A,TRUE,streamflow_model_slope_shifted_CO2_seasonal_ratio_auto,b,0.01802885616466995,769.6377746820912
2724,116014A,TRUE,streamflow_model_slope_shifted_CO2_seasonal_ratio_auto,sd,129.20189199200624,769.6377746820912
2776,116015A,FALSE,streamflow_model_precip_seasonal_ratio_auto,a0,-369.0413504834851,744.6307801213507
2776,116015A,FALSE,streamflow_model_precip_seasonal_ratio_auto,a1,0.6107353903754943,744.6307801213507
2776,116015A,FALSE,streamflow_model_precip_seasonal_ratio_auto,a2,0.1743663384176446,744.6307801213507
2776,116015A,FALSE,streamflow_model_precip_seasonal_ratio_auto,a4,588.6921267825032,744.6307801213507
2776,116015A,FALSE,streamflow_model_precip_seasonal_ratio_auto,b,0.2491449372424093,744.6307801213507
2776,116015A,FALSE,streamflow_model_precip_seasonal_ratio_auto,sd,188.9233360877472,744.6307801213507
2816,116015A,TRUE,streamflow_model_intercept_shifted_CO2_seasonal_ratio_auto,a0,-371.7987669483591,748.5605411541011
2816,116015A,TRUE,streamflow_model_intercept_shifted_CO2_seasonal_ratio_auto,a1,0.6122825079080516,748.5605411541011
2816,116015A,TRUE,streamflow_model_intercept_shifted_CO2_seasonal_ratio_auto,a2,0.1715676976150755,748.5605411541011
2816,116015A,TRUE,streamflow_model_intercept_shifted_CO2_seasonal_ratio_auto,a3_intercept,-85.74893946730072,748.5605411541011
2816,116015A,TRUE,streamflow_model_intercept_shifted_CO2_seasonal_ratio_auto,a4,588.2176501184063,748.5605411541011
2816,116015A,TRUE,streamflow_model_intercept_shifted_CO2_seasonal_ratio_auto,a5,135.81522771417016,748.5605411541011
2816,116015A,TRUE,streamflow_model_intercept_shifted_CO2_seasonal_ratio_auto,b,0.18544792026297055,748.5605411541011
2816,116015A,TRUE,streamflow_model_intercept_shifted_CO2_seasonal_ratio_auto,sd,188.80274194349155,748.5605411541011
2967,117002A,FALSE,streamflow_model_precip_seasonal_ratio,a0,-424.9900882832681,637.7455004910894
2967,117002A,FALSE,streamflow_model_precip_seasonal_ratio,a1,0.6901031684549358,637.7455004910894
2967,117002A,FALSE,streamflow_model_precip_seasonal_ratio,a4,777.7598580308536,637.7455004910894
2967,117002A,FALSE,streamflow_model_precip_seasonal_ratio,b,0.46770951229317026,637.7455004910894
2967,117002A,FALSE,streamflow_model_precip_seasonal_ratio,sd,167.34828806808093,637.7455004910894
2915,117002A,TRUE,streamflow_model_slope_shifted_CO2_seasonal_ratio,a0,-426.1012467846372,639.0403036030048
