year,precipitation,observed_boxcox_streamflow,modelled_boxcox_streamflow,gauge,streamflow_model,objective_function,optimiser,loglikelihood
1986,931.44164098,35.60934979430149,-204.49973313275882,104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,119.53359979819294
1987,1012.51394251,NA,-204.49577046707097,104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,119.53359979819294
1988,969.71022055,NA,-204.4978626346439,104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,119.53359979819294
1989,1179.4091471,NA,-204.4876129349889,104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,119.53359979819294
1990,1044.82137915,NA,-204.49419133870998,104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,119.53359979819294
1991,1180.73210024,NA,-204.4875482714612,104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,119.53359979819294
1992,1295.85131389,NA,-204.4819214550352,104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,119.53359979819294
1993,1297.74225235,NA,-204.48182902942483,104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,119.53359979819294
1994,831.95955863,NA,-204.5045956348322,104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,119.53359979819294
1995,1068.30656725,35.826202642695456,-204.49304342570764,104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,119.53359979819294
1996,1701.47337033,NA,-204.462095391448,104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,119.53359979819294
1997,998.79957371,NA,-204.4964408003124,104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,119.53359979819294
1998,1429.06360165,NA,-204.47541028226786,104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,119.53359979819294
1999,1531.15409824,NA,-204.47042028568137,104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,119.53359979819294
2000,1752.60703236,86.61593409752822,-204.45959607165324,104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,119.53359979819294
2001,1137.44542518,NA,-204.48966404489758,104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,119.53359979819294
2002,883.3267492800001,NA,-204.502084900586,104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,119.53359979819294
2003,913.81388241,NA,-204.50059474532836,104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,119.53359979819294
