gauge,streamflow_model,objective_function,parameter,parameter_values
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.013946879747740424
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,1.6177026546360311
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-4.537920772580719
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-1.0240351631813382
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.013752611929388075
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,1.4046889154386237
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-5.947306491309462
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-2.2604286032523078
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.015346261238233114
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,1.7991347037583754
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-4.83877410310356
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-1.5702445738319852
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.014366800362090865
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,1.688358785681554
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-3.1482599201714834
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-0.8606533679911763
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.013089997720609297
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,1.5254274805367247
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-7.737692502359209
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-4.646730627721297
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.01791848217805272
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,1.7073187803134644
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-5.485250754606739
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-2.553282655248097
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.015403228809642736
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,1.5903416978984473
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-3.5762885020544104
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-0.5930491175892598
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.012802865018409187
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,1.3955881275668112
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-5.819041292133306
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-2.9154368458267186
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.015143557695862613
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,1.4412521119498996
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-5.526725010213283
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-3.742721910064404
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.01729873043965391
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,1.839797876402461
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-5.660126539069211
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-3.4421412827447853
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.016520663475543377
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,1.6383451634103912
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-8.802208085851476
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-4.411577181504583
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.01827473289925389
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,1.5560234383781821
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-7.365349573734818
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-5.8179900654091625
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.019899863189245116
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,1.6692525095691944
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-7.894554389244433
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-4.46114474566707
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.017226380923210168
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,1.6559357841574984
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-5.350510603373721
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-2.9401718465908857
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.015680311894816956
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,1.6291421633509713
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-5.419036572601442
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-1.9517389059899983
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.014246641634455433
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,1.4659367759150124
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-7.035811908171752
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-3.6868596010973533
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.01740078140237662
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,1.5789494826602402
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-5.095388516645414
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-1.7330797841752883
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.014275662897863254
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,1.480585364658382
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-7.328922701870283
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-3.843883520663951
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.017572455883317017
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,1.5343807758270056
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-6.438214879887369
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-3.1158806730068136
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.01728458790570602
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,1.7048994634380061
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-4.131683569291056
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-0.6393901411113916
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.012604466611661244
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,1.5475200516124064
