gauge,decade,sum_decade_realspace_CO2_off_streamflow,sum_decade_realspace_CO2_on_streamflow,sum_decade_realspace_observed_streamflow,years_of_data,realspace_CO2_off_streamflow_per_year,realspace_a3_on_streamflow_per_year,CO2_impact_on_streamflow_mm_per_year,CO2_impact_on_streamflow_percent,CO2_model,non_CO2_model,evidence_ratio,lat,lon,state,status,parent_catchment,catchment_area_sq_km,record_length,prop_forested,river_di,binned_evidence_ratio,impact_of_CO2_term,IQR_CO2_impact_on_streamflow_percentage,mean_CO2_impact_on_streamflow_percentage,median_CO2_impact_on_streamflow_percentage
606185,1,2091.6753564390574,1435.9015649963933,1450.4526061341105,9,232.40837293767305,159.5446183329326,-72.86375460474045,-31.35160479966053,382.4254928068176,425.60838444240073,2382570580.9376626,-34.7648,116.3773,WA,no_nested,NA,379.4,39,0.99651,0.026589,Extremely Strong,Negative-Slope,12.229597977025389,-37.861471314681104,-38.401333093218575
305202,2,3120.718607410906,2134.439559474834,2249.0400791490115,10,312.0718607410906,213.4439559474834,-98.62790479360717,-31.604228769422278,503.4949817668762,515.7826710787242,465.8411312449631,-43.071111,147.236944,TAS,no_nested,NA,17.4,46,0.99296,0.036272,Moderately Strong,Negative-Slope,11.85048687925201,-37.06360006850286,-37.217893388311424
230210,1,1447.7356776644706,985.8379763679147,900.8882361490116,10,144.77356776644706,98.58379763679147,-46.189770129655585,-31.904836526630515,543.3262551099432,578.2888736417999,39087343.07104319,-37.471944,144.524167,VIC,no_nested,NA,39,52,0.99562,0.131838,Extremely Strong,Negative-Slope,17.32014493292964,-37.643532449548786,-37.22832918007996
A2390523,1,85.21970009651345,57.68915539380959,40.88798713411045,9,9.468855566279272,6.409906154867732,-3.0589494114115396,-32.30537618828138,230.6771957462905,249.25640704912087,10824.914467082086,-37.7034,140.3622,SA,no_nested,NA,485.4,39,0.37573,0.41207,Very Strong,Negative-Intercept,28.05681302905572,-42.03533858080944,-43.75689555901909
215002,1,2472.6609293206666,1670.1393015759247,1546.5019501490115,10,247.26609293206667,167.01393015759248,-80.25216277447419,-32.455789559679936,358.24373841015586,369.81244392523087,325.17150718001443,-35.340833,149.739444,NSW,sub_catchment,215207,1396,30,0.65354,0.137628,Moderately Strong,Negative-Slope,17.331843901823426,-34.170279649756694,-34.47023618220602
234200,1,607.5864554923598,403.9656091701019,438.8134711490116,10,60.758645549235986,40.39656091701019,-20.362084632225795,-33.51306542165313,498.8922828665476,529.8178547588104,5192812.137820808,-37.809,143.59,VIC,sub_catchment,234201,309.5,57,0.5259,0.301163,Extremely Strong,Negative-Intercept,15.677885694591517,-35.01560797136819,-36.13789721613896
407217,2,669.7154537710666,426.42007470806476,437.74963310430815,7,95.6736362530095,60.917153529723535,-34.75648272328597,-36.3281715679461,550.3693787428605,563.0128098164392,556.5269163709753,-37.15795783,144.2084168,VIC,sub_catchment,407215,294.7,58,0.81284,0.111772,Moderately Strong,Negative-Intercept,9.632286421582684,-34.66194457297499,-35.150128843325525
226205,2,3042.2998494948333,1935.0156476902976,1987.2191991192092,8,380.28748118685417,241.8769559612872,-138.41052522556697,-36.39628756476446,658.7985409700664,692.1766668796769,17699783.30484961,-37.90701017,146.0221188,VIC,sub_catchment,226204,296.1,60,0.98241,0.175886,Extremely Strong,Negative-Slope,6.593354396201391,-35.98426267882397,-36.0493403516776
410713,2,1123.0766078613954,709.1188745309518,687.3903081192093,8,140.38457598267442,88.63985931636897,-51.74471666630545,-36.859260573392,604.4739444762397,614.6191804430586,159.59158904527527,-35.3843,148.9656,ACT,no_nested,NA,226.5,57,0.73243,0.065645,Moderately Strong,Negative-Intercept,12.841347764632877,-33.54922549516209,-34.29278958079857
227213,2,2708.785668753036,1703.7245422244762,1870.6870971192093,8,338.5982085941295,212.96556777805952,-125.63264081607,-37.10375236115415,692.0991746367646,703.3675393228932,279.83001878724514,-38.52579869,146.538118,VIC,no_nested,NA,35,58,0.99976,0.13833,Moderately Strong,Negative-Slope,13.203286864818544,-40.81801587283598,-41.02480008273869
405237,2,653.2945667750753,410.41191725246915,446.9868740745058,5,130.65891335501504,82.08238345049384,-48.57652990452121,-37.17812176543462,517.5823549452841,528.4298181582352,226.72358912688944,-36.762369,145.585843,VIC,main_catchment,405237,341.5,52,0.13489,0.659453,Moderately Strong,Negative-Slope,14.425155117586804,-34.84850262552682,-35.49625144979417
302200,2,2450.94256543824,1531.5199803218259,1515.0057161490115,10,245.09425654382397,153.15199803218258,-91.9422585116414,-37.51302042249273,490.63697165229814,500.22518539886875,120.79644705662828,-42.0467,148.075,TAS,no_nested,NA,457.2,43,0.92285,0.085704,Moderately Strong,Negative-Slope,13.099436764098492,-40.32468445732293,-40.42347498010696
210022,2,4903.689087786066,3038.0827228507183,3139.696835149012,10,490.3689087786066,303.80827228507184,-186.5606364935348,-38.04495618578538,680.9652551530802,708.6554542018177,1030031.0695564386,-32.3078,151.5117,NSW,no_nested,NA,188.7,56,0.83413,0.10746,Extremely Strong,Negative-Slope,9.4583913147631975,-41.93317297379244,-41.87658528184309
405274,2,1025.3287147458557,632.6263150433689,680.5381541490116,10,102.53287147458556,63.26263150433689,-39.270239970248674,-38.30014648520054,433.5805477740769,444.8516929753676,280.21932514762426,-37.106111,145.605,VIC,no_nested,NA,181.4,44,0.26622,0.226042,Moderately Strong,Negative-Intercept,14.51727030106652,-36.33151289522918,-36.42454489169024
319204,2,3534.2701687378835,2156.3085454691213,2401.6440411490116,10,353.4270168737884,215.63085454691213,-137.79616232687624,-38.988576353257216,499.1865161995533,535.4925252563462,76515548.64429492,-41.0667,147.11,TAS,no_nested,NA,303,47,0.79355,0.139274,Extremely Strong,Negative-Slope,9.045558294979712,-44.202575917999994,-44.216577011951905
227205,2,2946.018377838558,1750.4360007219666,1806.6429891192092,8,368.25229722981976,218.80450009024582,-149.44779713957394,-40.58299113509839,624.2921529229999,641.0978958726103,4459.854739233778,-38.35208581,146.6547464,VIC,no_nested,NA,39.2,54,0.97901,0.14814,Strong,Negative-Slope,10.616873875996866,-45.14191592500419,-45.31976691714213
231213,2,1053.2941912436063,619.5115025213604,645.3694701043081,7,150.4705987490866,88.5016432173372,-61.9689555317494,-41.18343121308644,616.0685690209804,630.601972435657,1431.8200945608914,-37.496111,144.359722,VIC,sub_catchment,231211,153.4,59,0.97845,0.13992,Strong,Negative-Intercept,11.289987056685304,-40.64657258697693,-40.995408185340786
